id	drugName	condition	rating	date	usefulCount
115035	Diazepam	Anxiety	9.0	August 1, 2015	68.0
115020	Diazepam	Anxiety	8.0	October 12, 2015	71.0
115047	Diazepam	Anxiety	10.0	May 13, 2015	140.0
114953	Diazepam	Anxiety	10.0	February 16, 2016	114.0
114932	Diazepam	Anxiety	10.0	September 14, 2016	13.0
114969	Diazepam	Anxiety	10.0	January 13, 2016	50.0
115087	Diazepam	Anxiety	10.0	September 5, 2014	66.0
115247	Diazepam	Anxiety	10.0	May 18, 2009	20.0
114880	Diazepam	Anxiety	1.0	June 1, 2017	7.0
115098	Diazepam	Anxiety	10.0	April 8, 2014	308.0
115120	Diazepam	Anxiety	10.0	August 23, 2013	77.0
114841	Diazepam	Anxiety	10.0	October 17, 2017	5.0
114934	Diazepam	Anxiety	10.0	September 13, 2016	45.0
115118	Diazepam	Anxiety	10.0	September 5, 2013	74.0
114976	Diazepam	Anxiety	10.0	July 27, 2016	30.0
114933	Diazepam	Anxiety	10.0	September 14, 2016	109.0
114888	Diazepam	Anxiety	10.0	March 29, 2017	94.0
115180	Diazepam	Anxiety	10.0	August 6, 2010	61.0
115178	Diazepam	Anxiety	10.0	September 2, 2010	16.0
114891	Diazepam	Anxiety	9.0	March 17, 2017	21.0
115289	Diazepam	Anxiety	10.0	October 14, 2008	64.0
114904	Diazepam	Anxiety	10.0	January 14, 2017	64.0
115284	Diazepam	Anxiety	10.0	January 9, 2009	70.0
114997	Diazepam	Anxiety	9.0	February 23, 2016	33.0
115152	Diazepam	Anxiety	10.0	July 6, 2012	147.0
115090	Diazepam	Anxiety	8.0	July 19, 2014	87.0
115110	Diazepam	Anxiety	10.0	December 7, 2013	80.0
114875	Diazepam	Anxiety	10.0	July 26, 2017	23.0
114965	Diazepam	Anxiety	10.0	January 17, 2016	63.0
114959	Diazepam	Anxiety	10.0	February 7, 2016	145.0
114919	Diazepam	Anxiety	10.0	November 3, 2016	30.0
114982	Diazepam	Anxiety	8.0	July 4, 2016	9.0
114899	Diazepam	Anxiety	10.0	February 3, 2017	33.0
115231	Diazepam	Anxiety	10.0	October 3, 2009	128.0
115161	Diazepam	Anxiety	10.0	January 13, 2012	79.0
115030	Diazepam	Anxiety	8.0	August 23, 2015	107.0
114882	Diazepam	Anxiety	8.0	May 12, 2017	33.0
115007	Diazepam	Anxiety	10.0	December 3, 2015	113.0
115269	Diazepam	Anxiety	10.0	April 28, 2009	122.0
115009	Diazepam	Anxiety	10.0	November 25, 2015	35.0
115039	Diazepam	Anxiety	10.0	July 2, 2015	80.0
115199	Diazepam	Anxiety	10.0	December 3, 2009	72.0
114957	Diazepam	Anxiety	9.0	February 10, 2016	31.0
115248	Diazepam	Anxiety	9.0	May 13, 2009	106.0
114989	Diazepam	Anxiety	10.0	May 14, 2016	63.0
115043	Diazepam	Anxiety	8.0	June 24, 2015	40.0
115233	Diazepam	Anxiety	10.0	September 4, 2009	65.0
115223	Diazepam	Anxiety	7.0	November 17, 2010	6.0
114910	Diazepam	Anxiety	10.0	December 27, 2016	53.0
114911	Diazepam	Anxiety	9.0	December 15, 2016	82.0
114972	Diazepam	Anxiety	10.0	January 9, 2016	33.0
114921	Diazepam	Anxiety	10.0	October 31, 2016	20.0
115167	Diazepam	Anxiety	10.0	November 25, 2011	74.0
115058	Diazepam	Anxiety	10.0	March 20, 2015	63.0
115109	Diazepam	Anxiety	10.0	December 21, 2013	64.0
115234	Diazepam	Anxiety	9.0	August 16, 2009	28.0
115242	Diazepam	Anxiety	8.0	June 17, 2009	21.0
115074	Diazepam	Anxiety	10.0	December 22, 2014	104.0
114924	Diazepam	Anxiety	10.0	October 15, 2016	33.0
114879	Diazepam	Anxiety	10.0	June 6, 2017	9.0
115064	Diazepam	Anxiety	9.0	February 20, 2015	47.0
114979	Diazepam	Anxiety	10.0	July 12, 2016	50.0
114995	Diazepam	Anxiety	8.0	March 6, 2016	102.0
115029	Diazepam	Anxiety	10.0	August 23, 2015	153.0
115081	Diazepam	Anxiety	10.0	October 22, 2014	76.0
114994	Diazepam	Anxiety	8.0	March 10, 2016	24.0
115239	Diazepam	Anxiety	10.0	July 22, 2009	101.0
115121	Diazepam	Anxiety	10.0	August 20, 2013	278.0
174060	Valium	Anxiety	10.0	March 20, 2015	63.0
173983	Valium	Anxiety	1.0	June 1, 2017	7.0
174132	Valium	Anxiety	8.0	June 21, 2009	54.0
174068	Valium	Anxiety	10.0	October 15, 2014	152.0
174009	Valium	Anxiety	10.0	September 9, 2016	76.0
174105	Valium	Anxiety	10.0	January 4, 2014	202.0
174115	Valium	Anxiety	10.0	March 9, 2013	233.0
174128	Valium	Anxiety	10.0	September 4, 2009	65.0
174084	Valium	Anxiety	10.0	November 25, 2011	74.0
174000	Valium	Anxiety	9.0	December 15, 2016	82.0
174162	Valium	Anxiety	10.0	January 19, 2011	28.0
174177	Valium	Anxiety	10.0	January 20, 2010	73.0
174037	Valium	Anxiety	10.0	November 25, 2015	35.0
174028	Valium	Anxiety	10.0	January 17, 2016	63.0
173985	Valium	Anxiety	8.0	May 12, 2017	33.0
174181	Valium	Anxiety	8.0	December 10, 2009	68.0
174168	Valium	Anxiety	10.0	August 15, 2010	64.0
174050	Valium	Anxiety	9.0	August 2, 2015	144.0
174121	Valium	Anxiety	10.0	August 17, 2012	157.0
174023	Valium	Anxiety	8.0	March 6, 2016	102.0
174087	Valium	Anxiety	10.0	September 22, 2011	89.0
174082	Valium	Anxiety	9.0	December 17, 2011	68.0
174141	Valium	Anxiety	10.0	February 6, 2009	93.0
173999	Valium	Anxiety	10.0	December 27, 2016	53.0
174157	Valium	Anxiety	9.0	March 16, 2008	162.0
174007	Valium	Anxiety	10.0	September 26, 2016	97.0
174031	Valium	Anxiety	10.0	January 13, 2016	50.0
174145	Valium	Anxiety	10.0	January 9, 2009	70.0
7691	Xanax	Depression	10.0	January 2, 2015	121.0
7814	Xanax	Anxiety	7.0	August 27, 2010	30.0
7918	Xanax	Anxiety	10.0	February 12, 2009	16.0
7642	Xanax	Anxiety	10.0	May 30, 2015	41.0
7521	Xanax	Anxiety	8.0	January 8, 2017	30.0
7915	Xanax	Anxiety	5.0	February 27, 2009	13.0
7697	Xanax	Anxiety	8.0	December 1, 2014	44.0
7817	Xanax	Anxiety	10.0	August 16, 2010	21.0
7989	Xanax	Anxiety	10.0	June 16, 2009	88.0
7937	Xanax	Anxiety	8.0	August 21, 2012	41.0
7945	Xanax	Anxiety	10.0	July 21, 2012	26.0
7581	Xanax	Anxiety	10.0	October 28, 2015	66.0
7717	Xanax	Anxiety	10.0	July 25, 2013	57.0
7895	Xanax	Anxiety	9.0	January 22, 2012	12.0
7435	Xanax	Depression	10.0	October 13, 2017	1.0
7994	Xanax	Anxiety	7.0	May 14, 2009	36.0
7775	Xanax	Anxiety	10.0	October 24, 2011	11.0
7510	Xanax	Anxiety	9.0	March 6, 2017	38.0
7778	Xanax	Anxiety	10.0	October 16, 2011	16.0
7970	Xanax	Anxiety	9.0	January 15, 2010	16.0
7506	Xanax	Anxiety	1.0	April 4, 2017	5.0
7637	Xanax	Anxiety	10.0	June 7, 2015	27.0
7575	Xanax	Anxiety	10.0	November 16, 2015	52.0
7939	Xanax	Anxiety	10.0	August 16, 2012	42.0
7935	Xanax	Depression	9.0	September 27, 2012	98.0
7557	Xanax	Anxiety	10.0	January 27, 2016	7.0
8015	Xanax	Anxiety	10.0	October 26, 2009	30.0
7648	Xanax	Anxiety	10.0	April 16, 2015	91.0
7650	Xanax	Depression	1.0	April 11, 2015	62.0
7469	Xanax	Anxiety	10.0	May 20, 2017	55.0
7567	Xanax	Anxiety	10.0	December 13, 2015	53.0
7809	Xanax	Anxiety	10.0	October 13, 2010	22.0
7860	Xanax	Anxiety	6.0	May 9, 2011	14.0
8045	Xanax	Anxiety	10.0	September 21, 2008	22.0
7965	Xanax	Anxiety	9.0	February 4, 2010	17.0
7851	Xanax	Anxiety	10.0	December 6, 2012	23.0
7708	Xanax	Depression	10.0	August 24, 2013	201.0
7517	Xanax	Anxiety	10.0	January 30, 2017	38.0
7459	Xanax	Depression	10.0	June 20, 2017	27.0
7437	Xanax	Anxiety	1.0	October 3, 2017	23.0
7656	Xanax	Depression	10.0	October 7, 2014	98.0
7818	Xanax	Anxiety	9.0	August 12, 2010	28.0
7738	Xanax	Anxiety	10.0	January 4, 2014	153.0
7979	Xanax	Anxiety	10.0	December 1, 2009	22.0
8005	Xanax	Anxiety	10.0	November 30, 2009	27.0
7616	Xanax	Anxiety	10.0	March 26, 2016	73.0
7842	Xanax	Anxiety	9.0	January 28, 2013	69.0
8050	Xanax	Anxiety	10.0	July 26, 2008	55.0
7636	Xanax	Anxiety	8.0	June 13, 2015	31.0
7722	Xanax	Anxiety	10.0	July 2, 2013	48.0
7930	Xanax	Depression	10.0	November 15, 2012	113.0
8035	Xanax	Anxiety	10.0	November 13, 2008	142.0
7490	Xanax	Anxiety	10.0	August 15, 2016	35.0
7461	Xanax	Anxiety	10.0	June 11, 2017	19.0
7870	Xanax	Anxiety	10.0	February 8, 2011	18.0
7839	Xanax	Anxiety	10.0	February 23, 2013	98.0
7952	Xanax	Depression	8.0	May 3, 2012	113.0
7983	Xanax	Anxiety	4.0	July 20, 2009	84.0
7629	Xanax	Anxiety	10.0	February 5, 2016	27.0
7874	Xanax	Anxiety	10.0	January 25, 2011	10.0
7962	Xanax	Anxiety	10.0	February 12, 2010	32.0
7731	Xanax	Anxiety	10.0	February 16, 2014	86.0
7667	Xanax	Anxiety	9.0	July 4, 2014	85.0
7725	Xanax	Anxiety	9.0	June 13, 2013	35.0
7933	Xanax	Anxiety	10.0	October 8, 2012	69.0
7732	Xanax	Anxiety	9.0	February 15, 2014	46.0
7872	Xanax	Anxiety	10.0	February 3, 2011	8.0
7680	Xanax	Anxiety	10.0	February 23, 2015	81.0
7542	Xanax	Depression	10.0	October 11, 2016	82.0
7843	Xanax	Anxiety	10.0	January 28, 2013	112.0
7981	Xanax	Depression	9.0	August 3, 2009	76.0
7871	Xanax	Anxiety	9.0	February 7, 2011	10.0
7639	Xanax	Anxiety	8.0	June 2, 2015	24.0
7816	Xanax	Anxiety	9.0	August 20, 2010	29.0
8021	Xanax	Anxiety	10.0	September 24, 2009	10.0
7743	Xanax	Depression	10.0	November 21, 2013	179.0
7618	Xanax	Anxiety	5.0	March 17, 2016	41.0
7441	Xanax	Anxiety	10.0	September 7, 2017	40.0
7694	Xanax	Anxiety	10.0	December 13, 2014	74.0
7795	Xanax	Anxiety	10.0	August 3, 2011	8.0
7837	Xanax	Anxiety	10.0	March 2, 2013	61.0
7495	Xanax	Anxiety	10.0	June 29, 2016	77.0
7997	Xanax	Anxiety	10.0	May 4, 2009	134.0
7466	Xanax	Anxiety	10.0	May 31, 2017	32.0
7982	Xanax	Anxiety	10.0	August 2, 2009	40.0
7963	Xanax	Depression	10.0	February 8, 2010	62.0
7625	Xanax	Anxiety	8.0	February 26, 2016	18.0
7707	Xanax	Anxiety	10.0	August 27, 2013	89.0
7886	Xanax	Anxiety	10.0	March 7, 2012	10.0
7799	Xanax	Anxiety	10.0	July 13, 2011	5.0
7497	Xanax	Anxiety	10.0	June 22, 2016	59.0
8001	Xanax	Anxiety	10.0	April 13, 2009	66.0
8044	Xanax	Anxiety	10.0	September 30, 2008	42.0
7923	Xanax	Depression	10.0	January 7, 2009	56.0
7473	Xanax	Depression	10.0	May 11, 2017	16.0
8027	Xanax	Anxiety	1.0	August 28, 2009	15.0
7474	Xanax	Anxiety	7.0	May 10, 2017	18.0
147353	Alprazolam	Anxiety	10.0	October 28, 2011	4.0
147298	Alprazolam	Anxiety	10.0	August 12, 2012	46.0
147119	Alprazolam	Anxiety	10.0	July 30, 2014	134.0
147454	Alprazolam	Anxiety	10.0	August 9, 2010	44.0
146778	Alprazolam	Anxiety	8.0	June 7, 2017	34.0
146875	Alprazolam	Anxiety	10.0	April 8, 2016	79.0
146808	Alprazolam	Anxiety	8.0	March 16, 2017	110.0
146805	Alprazolam	Anxiety	1.0	March 24, 2017	1.0
146731	Alprazolam	Anxiety	6.0	November 6, 2017	0.0
201752	Alprazolam	Anxiety	10.0	September 24, 2008	46.0
146887	Alprazolam	Depression	10.0	March 15, 2016	68.0
146853	Alprazolam	Anxiety	8.0	January 8, 2017	30.0
147405	Alprazolam	Anxiety	10.0	August 3, 2011	8.0
147153	Alprazolam	Anxiety	10.0	October 3, 2013	89.0
147227	Alprazolam	Anxiety	10.0	July 22, 2013	41.0
146733	Alprazolam	Anxiety	9.0	October 22, 2017	6.0
147074	Alprazolam	Anxiety	7.0	January 28, 2015	53.0
201796	Alprazolam	Anxiety	9.0	March 17, 2008	45.0
147494	Alprazolam	Anxiety	10.0	August 18, 2009	77.0
147110	Alprazolam	Depression	10.0	September 26, 2014	71.0
147188	Alprazolam	Anxiety	10.0	April 9, 2014	45.0
201626	Alprazolam	Anxiety	10.0	December 19, 2008	29.0
147232	Alprazolam	Anxiety	10.0	July 2, 2013	48.0
146949	Alprazolam	Anxiety	10.0	December 21, 2015	6.0
147253	Alprazolam	Anxiety	10.0	December 7, 2012	102.0
146777	Alprazolam	Anxiety	10.0	June 10, 2017	11.0
147643	Alprazolam	Anxiety	10.0	January 24, 2009	8.0
146978	Alprazolam	Anxiety	10.0	February 5, 2016	27.0
147333	Alprazolam	Anxiety	10.0	December 13, 2011	15.0
201754	Alprazolam	Anxiety	10.0	September 12, 2008	5.0
147510	Alprazolam	Anxiety	10.0	November 28, 2009	18.0
146728	Alprazolam	Anxiety	10.0	November 18, 2017	0.0
147499	Alprazolam	Anxiety	10.0	December 14, 2009	8.0
147235	Alprazolam	Anxiety	10.0	June 17, 2013	17.0
147444	Alprazolam	Anxiety	10.0	September 18, 2010	15.0
147057	Alprazolam	Depression	1.0	April 11, 2015	62.0
146815	Alprazolam	Anxiety	8.0	February 19, 2017	11.0
147641	Alprazolam	Depression	10.0	February 4, 2009	35.0
146988	Alprazolam	Anxiety	10.0	January 16, 2016	77.0
147654	Alprazolam	Anxiety	8.0	May 4, 2009	3.0
147165	Alprazolam	Depression	10.0	August 24, 2013	201.0
146743	Alprazolam	Anxiety	10.0	September 7, 2017	40.0
146906	Alprazolam	Depression	10.0	November 14, 2016	32.0
147026	Alprazolam	Anxiety	10.0	July 27, 2015	6.0
147549	Alprazolam	Anxiety	10.0	August 2, 2009	40.0
